"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","ESV_000307","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, NA","Aquatic FB250 filter in alcohol- MO1","",593,99.7,2
"2","ESV_006594","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , NA","Aquatic FB250 filter in alcohol- MO1","",3376,98.5,16
"3","ESV_143222","Bacteria, Cyanobacteria, unk_class, Oscillatoriales, Microcoleaceae, , NA","Aquatic FB250 filter in alcohol- MO1","",135,94.9,7
"4","ESV_143223","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , NA","Aquatic FB250 filter in alcohol- MO1","",89,98.5,13
"5","ESV_143224","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, NA","Aquatic FB250 filter in alcohol- MO1","",53,99.4,2
"6","ESV_143225","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, NA","Aquatic FB250 filter in alcohol- MO1","",53,99.4,2
"7","ESV_143226","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , NA","Aquatic FB250 filter in alcohol- MO1","",52,98.5,18
"8","ESV_143227","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , NA","Aquatic FB250 filter in alcohol- MO1","",24,99.4,3
"9","ESV_143228","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, NA","Aquatic FB250 filter in alcohol- MO1","",16,99.4,2
"10","ESV_143229","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora, NA","Aquatic FB250 filter in alcohol- MO1","",10,99.4,2
"11","ESV_143230","Bacteria, Cyanobacteria, unk_class, Oscillatoriales, Microcoleaceae, , NA","Aquatic FB250 filter in alcohol- MO1","",9,94.6,7
"12","ESV_011057","Eukaryota, Arthropoda, Insecta, Diptera, , , ","Aquatic FB250 filter in alcohol- NVBR","",5706,95.5,15
"13","ESV_025171","Eukaryota, Arthropoda, Insecta, Diptera, , , ","Aquatic FB250 filter in alcohol- NVBR","",263,94.9,15
"14","ESV_025172","Eukaryota, Arthropoda, Insecta, Diptera, , , ","Aquatic FB250 filter in alcohol- NVBR","",76,94.9,15
"15","ESV_025173","Eukaryota, Arthropoda, Insecta, Diptera, Anthomyiidae, Delia, ","Aquatic FB250 filter in alcohol- NVBR","",8,94.3,93
"16","ESV_025174","Eukaryota, Arthropoda, Insecta, Diptera, Sphaeroceridae, Spelobia, ","Aquatic FB250 filter in alcohol- MO1","",380,95.5,38
"17","ESV_025175","Eukaryota, Arthropoda, Insecta, Lepidoptera, Acrolophidae, Acrolophus, Acrolophus walsinghami","Aquatic FB250 filter in alcohol- MO1","",174,94.3,1
