"","sample_type","esv_id","kpcofgs","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","Pollen from Bombus crotchii","ESV_000029","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",34664,100,85
"2","Pollen from VMMV on Melissodes","ESV_000064","Eukaryota, Streptophyta, Magnoliopsida, Fabales, Fabaceae, Astragalus, NA","UCSB-IZC00043592",25928,100,22
"3","Pollen from Bombus vosnesenskii from Lagoon island","ESV_000075","Eukaryota, Streptophyta, Magnoliopsida, Boraginales, , , NA","UCSB-IZC00034199",10886,96.7,26
"4","Pollen from VMMV on Melissodes","ESV_002971","Eukaryota, Streptophyta, Magnoliopsida, Poales, Poaceae, , NA","UCSB-IZC00043592",714,99.3,55
"5","Pollen from Bombus vosnesenskii from Lagoon island","ESV_009488","Eukaryota, Streptophyta, Magnoliopsida, , , , NA","UCSB-IZC00034199",1534,98,6
"6","Pollen from VMMV on Melissodes","ESV_011991","Eukaryota, Streptophyta, Magnoliopsida, Fabales, Fabaceae, Astragalus, NA","UCSB-IZC00043592",301,99.3,33
"7","Pollen from Bombus crotchii","ESV_015916","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",23329,99.3,90
"8","Pollen from Bombus vosnesenskii from Lagoon island","ESV_019706","Eukaryota, Streptophyta, Magnoliopsida, , , , NA","UCSB-IZC00034199",928,97.3,6
"9","Pollen from VMMV on Melissodes","ESV_110456","Eukaryota, Streptophyta, Magnoliopsida, Fabales, Fabaceae, Astragalus, NA","UCSB-IZC00043592",356,99.3,33
"10","Pollen from Bombus vosnesenskii from Lagoon island","ESV_117929","Eukaryota, Streptophyta, Magnoliopsida, Boraginales, , , NA","UCSB-IZC00034199",75,95.9,26
"11","Pollen from Bombus crotchii","ESV_156475","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",359,98.7,90
"12","Pollen from Bombus crotchii","ESV_156476","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",41,98,88
"13","Pollen from Bombus crotchii","ESV_156477","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",16,98,90
"14","Pollen from Bombus crotchii","ESV_156478","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",15,98.7,90
"15","Pollen from Bombus crotchii","ESV_156479","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",13,98,90
"16","Pollen from Bombus crotchii","ESV_156480","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",13,98.7,90
"17","Pollen from Bombus crotchii","ESV_156481","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, Salix, NA","UCSB-IZC00010465",9,98,90
"18","Pollen from VMMV on Melissodes","ESV_156482","Eukaryota, Streptophyta, Magnoliopsida, Poales, Poaceae, , NA","UCSB-IZC00043592",14,98.6,55
"19","Pollen from Bombus vosnesenskii from Lagoon island","ESV_156483","Eukaryota, Streptophyta, Magnoliopsida, Boraginales, , , NA","UCSB-IZC00034199",390,96,26
"20","Pollen from Bombus vosnesenskii from Lagoon island","ESV_156484","Eukaryota, Streptophyta, Magnoliopsida, Boraginales, , , NA","UCSB-IZC00034199",19,95.2,26
