DNA Vial,Sample Type,UCSB ID
S034169,ground owl pellet,UCSB-IZC00043593
S034170,ground owl pellet,UCSB-IZC00045386
S034149,ground owl pellet,UCSB-IZC00044860
S034168,ground owl pellet,UCSB-IZC00044866
S034214,unground owl pellet,UCSB-IZC00044827
S034127,Pollen from VMMV on Melissodes,UCSB-IZC00043592
S034199,Pollen from Bombus vosnesenskii from Lagoon island,UCSB-IZC00034199
S034126,Pollen from Bombus crotchii,UCSB-IZC00010465
S034179,Aquatic FB250 filter in alcohol- NVBR,
S034195,Aquatic FB250 filter in alcohol- NPB2,
S034210,Aquatic FB250 filter in alcohol- MO1,
S034148,Semi palmated plover fresh dropping,
S034208,Least Sandpiper fresh dropping,
S034171,Killdeer fresh dropping,
S034158,BCOC-S (0-10),
S034147,BCOC-D (30-40),
S034166,BCBC-S (0-10),
S034191,BCBC-D (30-40),
S034138,BCOO-S (0-10),
S034128,BCOO-D (30-40),
S034202,OCBC-S (0-10),
S034187,OCBC-D (30-40),
S034155,OCOC-S (0-10),
S034173,OCOC-D (30-40),
S034150,OCOO-S (0-10),
S034174,OCOO-D (30-40),
