taxa,tolerance
hemiptera_corixidae_boatman,8
hemiptera_notonectidae,9
dipteran_sp,7
tipulidae_larva,5
diptera_ceratopogonidae,6
diptera_chironomid,6
diptera_culicidae,8
diptera_ephydridae,6
diptera_stratiomyidae,8
diptera_syrphidae,10
coleoptera_sp,5
coleoptera_dytiscidae,5
coleoptera_dytiscidae_agabus,8
coleoptera_dytiscidae_liodessus_affinis,5
coleoptera_hydrophilidae,5
coleoptera_hydraenidae,5
coleoptera_curculionidae_weavil,8
coleoptera_gyrindae_gyrinini,5
ephemeroptera,7
arachnida_acari,5
nematode,6
annelida_oligochaete,5
annelida_polychaete,9
gastropod_snail,8
annelida_sp,5
collembola_springtail,10
odonate,9
